Row	Gene ID	Gene Name	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value(%)
1	2946	4885	4885	4.8067472997973	1.3488	0.280605556288944	2.54700183674917	0
2	1485	23211	23211	4.17134977365672	1.2592	0.301868715961489	2.39362973100183	0
3	6119	9967	9967	3.78062136047067	0.9836	0.26016887337206	1.97739350685761	0
4	2672	402571	402571	3.75114258851746	1.17	0.311904965591407	2.25011696937762	0
5	1631	23604	23604	3.61640976839762	1.1066	0.305994085534814	2.15337562711293	0
6	2475	3636	3636	3.4688709358074	0.6982	0.201275865525245	1.62247921894353	0
7	207	10498	10498	3.40470617574369	1.0702	0.314329620460196	2.0997244306845	0
8	1694	2537	2537	3.36568380553385	1.1006	0.327006356981721	2.14443858658004	0
9	2894	473	473	3.28591235577488	1.1286	0.343466251623091	2.18646461420892	0
10	3659	55314	55314	3.28235324042758	0.914	0.278458755975008	1.88426254780962	0
11	4509	653805	653805	3.26816002853226	1.138	0.348208163022873	2.20075721873227	0
12	4787	7291	7291	3.24678058914854	0.8738	0.269128133548794	1.83248323562381	0
13	400	11067	11067	3.14914733548272	1.2684	0.402775692870392	2.40894257058106	0
14	5747	91369	91369	3.13918469862311	1.2056	0.38404876289337	2.30633167054718	0
15	1748	25820	25820	3.05322900330567	1.3494	0.441958332813894	2.54806132533357	0
16	5226	81888	81888	3.04557307077247	0.7612	0.249936541436168	1.69489981661244	0
17	3451	54543	54543	3.02536951339628	1.1288	0.373111448040213	2.18676774357631	0
18	4252	6206	6206	3.00195183213257	0.9926	0.33065154123238	1.98976768640918	0
19	3843	563	563	2.97945077281429	1.094	0.367181767184105	2.13465067607992	0
20	1365	229	229	2.90316015043485	0.7854	0.270532784725072	1.72357012829257	0
21	766	1384	1384	2.89866299600696	0.6796	0.234452918789172	1.60169560929212	0
22	4185	5998	5998	2.89646524041852	1.1312	0.390544994020556	2.19040857564605	0
23	5888	94103	94103	2.89601205239888	1.0254	0.354073112075146	2.03552367297268	0
